trade_time_paris,x_t_signed_volume,total_qty,known_qty,imbalance,known_ratio
2019-10-01 12:11:00+02:00,114.0,114.0,114.0,1.0,1.0
2019-10-01 12:12:00+02:00,22.0,1146.0,1146.0,0.019197207678883072,1.0
2019-10-01 12:13:00+02:00,-124.0,266.0,266.0,-0.46616541353383456,1.0
2019-10-01 12:14:00+02:00,24.0,24.0,24.0,1.0,1.0
2019-10-01 12:15:00+02:00,222.0,610.0,610.0,0.3639344262295082,1.0
2019-10-01 12:16:00+02:00,61.0,981.0,981.0,0.06218144750254842,1.0
2019-10-01 12:17:00+02:00,-52.0,1052.0,1052.0,-0.049429657794676805,1.0
2019-10-01 12:18:00+02:00,-416.0,1936.0,1936.0,-0.21487603305785125,1.0
2019-10-01 12:19:00+02:00,602.0,1098.0,1098.0,0.5482695810564663,1.0
2019-10-01 12:20:00+02:00,-807.0,807.0,807.0,-1.0,1.0
2019-10-01 12:21:00+02:00,50.0,250.0,250.0,0.2,1.0
2019-10-01 12:22:00+02:00,-338.0,382.0,382.0,-0.8848167539267016,1.0
2019-10-01 12:23:00+02:00,-51.0,51.0,51.0,-1.0,1.0
2019-10-01 12:24:00+02:00,-90.0,90.0,90.0,-1.0,1.0
2019-10-01 12:25:00+02:00,130.0,130.0,130.0,1.0,1.0
2019-10-01 12:26:00+02:00,449.0,1131.0,1131.0,0.39699381078691426,1.0
2019-10-01 12:27:00+02:00,-170.0,330.0,330.0,-0.5151515151515151,1.0
2019-10-01 12:28:00+02:00,-1240.0,1240.0,1240.0,-1.0,1.0
2019-10-01 12:29:00+02:00,276.0,924.0,924.0,0.2987012987012987,1.0
2019-10-01 12:30:00+02:00,0.0,0.0,0.0,,
2019-10-01 12:31:00+02:00,0.0,0.0,0.0,,
2019-10-01 12:32:00+02:00,174.0,174.0,174.0,1.0,1.0
2019-10-01 12:33:00+02:00,-1250.0,1250.0,1250.0,-1.0,1.0
2019-10-01 12:34:00+02:00,738.0,738.0,738.0,1.0,1.0
2019-10-01 12:35:00+02:00,-391.0,487.0,487.0,-0.8028747433264887,1.0
2019-10-01 12:36:00+02:00,-231.0,489.0,489.0,-0.4723926380368098,1.0
2019-10-01 12:37:00+02:00,410.0,480.0,480.0,0.8541666666666666,1.0
2019-10-01 12:38:00+02:00,120.0,1140.0,1140.0,0.10526315789473684,1.0
2019-10-01 12:39:00+02:00,337.0,337.0,337.0,1.0,1.0
2019-10-01 12:40:00+02:00,-532.0,532.0,532.0,-1.0,1.0
2019-10-01 12:41:00+02:00,-369.0,369.0,369.0,-1.0,1.0
2019-10-01 12:42:00+02:00,648.0,2336.0,2336.0,0.2773972602739726,1.0
2019-10-01 12:43:00+02:00,75.0,1197.0,1197.0,0.06265664160401002,1.0
2019-10-01 12:44:00+02:00,-274.0,274.0,274.0,-1.0,1.0
2019-10-01 12:45:00+02:00,-345.0,561.0,561.0,-0.6149732620320856,1.0
2019-10-01 12:46:00+02:00,817.0,817.0,817.0,1.0,1.0
2019-10-01 12:47:00+02:00,1490.0,1490.0,1490.0,1.0,1.0
2019-10-01 12:48:00+02:00,-313.0,313.0,313.0,-1.0,1.0
2019-10-01 12:49:00+02:00,124.0,424.0,424.0,0.29245283018867924,1.0
2019-10-01 12:50:00+02:00,-121.0,169.0,169.0,-0.7159763313609467,1.0
2019-10-01 12:51:00+02:00,-459.0,759.0,759.0,-0.6047430830039525,1.0
2019-10-01 12:52:00+02:00,710.0,3362.0,3362.0,0.2111838191552647,1.0
2019-10-01 12:53:00+02:00,126.0,400.0,400.0,0.315,1.0
2019-10-01 12:54:00+02:00,-40.0,242.0,242.0,-0.1652892561983471,1.0
2019-10-01 12:55:00+02:00,-182.0,212.0,212.0,-0.8584905660377359,1.0
2019-10-01 12:56:00+02:00,836.0,1386.0,1386.0,0.6031746031746031,1.0
2019-10-01 12:57:00+02:00,59.0,369.0,369.0,0.15989159891598917,1.0
2019-10-01 12:58:00+02:00,268.0,268.0,268.0,1.0,1.0
2019-10-01 12:59:00+02:00,-427.0,669.0,669.0,-0.6382660687593423,1.0
2019-10-01 13:00:00+02:00,736.0,2286.0,2286.0,0.3219597550306212,1.0
2019-10-01 13:01:00+02:00,0.0,0.0,0.0,,
2019-10-01 13:02:00+02:00,23.0,23.0,23.0,1.0,1.0
2019-10-01 13:03:00+02:00,169.0,669.0,669.0,0.2526158445440957,1.0
2019-10-01 13:04:00+02:00,263.0,2761.0,2761.0,0.09525534226729446,1.0
2019-10-01 13:05:00+02:00,91.0,209.0,209.0,0.4354066985645933,1.0
2019-10-01 13:06:00+02:00,356.0,356.0,356.0,1.0,1.0
2019-10-01 13:07:00+02:00,133.0,133.0,133.0,1.0,1.0
2019-10-01 13:08:00+02:00,336.0,364.0,364.0,0.9230769230769231,1.0
2019-10-01 13:09:00+02:00,25.0,25.0,25.0,1.0,1.0
2019-10-01 13:10:00+02:00,-70.0,70.0,70.0,-1.0,1.0
2019-10-01 13:11:00+02:00,168.0,168.0,168.0,1.0,1.0
2019-10-01 13:12:00+02:00,1017.0,2341.0,2341.0,0.43442973088423753,1.0
2019-10-01 13:13:00+02:00,-1775.0,3353.0,3353.0,-0.5293766776021473,1.0
2019-10-01 13:14:00+02:00,1026.0,1026.0,1026.0,1.0,1.0
2019-10-01 13:15:00+02:00,691.0,1691.0,1691.0,0.4086339444115908,1.0
2019-10-01 13:16:00+02:00,407.0,1079.0,1079.0,0.37720111214087115,1.0
2019-10-01 13:17:00+02:00,489.0,873.0,873.0,0.5601374570446735,1.0
2019-10-01 13:18:00+02:00,-187.0,617.0,617.0,-0.30307941653160453,1.0
2019-10-01 13:19:00+02:00,-24.0,728.0,728.0,-0.03296703296703297,1.0
2019-10-01 13:20:00+02:00,82.0,118.0,118.0,0.6949152542372882,1.0
2019-10-01 13:21:00+02:00,-478.0,616.0,616.0,-0.775974025974026,1.0
2019-10-01 13:22:00+02:00,673.0,881.0,881.0,0.7639046538024972,1.0
2019-10-01 13:23:00+02:00,491.0,491.0,491.0,1.0,1.0
2019-10-01 13:24:00+02:00,-224.0,224.0,224.0,-1.0,1.0
2019-10-01 13:25:00+02:00,-54.0,422.0,422.0,-0.12796208530805686,1.0
2019-10-01 13:26:00+02:00,-725.0,3917.0,3917.0,-0.1850906305846311,1.0
2019-10-01 13:27:00+02:00,48.0,562.0,562.0,0.08540925266903915,1.0
2019-10-01 13:28:00+02:00,0.0,0.0,0.0,,
2019-10-01 13:29:00+02:00,-51.0,953.0,953.0,-0.053515215110178385,1.0
2019-10-01 13:30:00+02:00,1423.0,1423.0,1423.0,1.0,1.0
2019-10-01 13:31:00+02:00,922.0,1204.0,1204.0,0.7657807308970099,1.0
2019-10-01 13:32:00+02:00,0.0,0.0,0.0,,
2019-10-01 13:33:00+02:00,150.0,150.0,150.0,1.0,1.0
2019-10-01 13:34:00+02:00,-254.0,294.0,294.0,-0.8639455782312925,1.0
2019-10-01 13:35:00+02:00,-239.0,559.0,559.0,-0.4275491949910555,1.0
2019-10-01 13:36:00+02:00,-740.0,740.0,740.0,-1.0,1.0
2019-10-01 13:37:00+02:00,559.0,559.0,559.0,1.0,1.0
2019-10-01 13:38:00+02:00,-14.0,80.0,80.0,-0.175,1.0
2019-10-01 13:39:00+02:00,797.0,797.0,797.0,1.0,1.0
2019-10-01 13:40:00+02:00,164.0,164.0,164.0,1.0,1.0
2019-10-01 13:41:00+02:00,-150.0,420.0,420.0,-0.35714285714285715,1.0
2019-10-01 13:42:00+02:00,-90.0,90.0,90.0,-1.0,1.0
2019-10-01 13:43:00+02:00,83.0,617.0,617.0,0.13452188006482982,1.0
2019-10-01 13:44:00+02:00,812.0,812.0,812.0,1.0,1.0
2019-10-01 13:45:00+02:00,-199.0,335.0,335.0,-0.5940298507462687,1.0
2019-10-01 13:46:00+02:00,98.0,978.0,978.0,0.10020449897750511,1.0
2019-10-01 13:47:00+02:00,402.0,402.0,402.0,1.0,1.0
2019-10-01 13:48:00+02:00,-1496.0,1496.0,1496.0,-1.0,1.0
2019-10-01 13:49:00+02:00,-218.0,1054.0,1054.0,-0.20683111954459202,1.0
2019-10-01 13:50:00+02:00,-208.0,586.0,586.0,-0.35494880546075086,1.0
2019-10-01 13:51:00+02:00,570.0,1050.0,1050.0,0.5428571428571428,1.0
2019-10-01 13:52:00+02:00,211.0,397.0,397.0,0.5314861460957179,1.0
2019-10-01 13:53:00+02:00,0.0,0.0,0.0,,
2019-10-01 13:54:00+02:00,539.0,539.0,539.0,1.0,1.0
2019-10-01 13:55:00+02:00,-249.0,1799.0,1799.0,-0.13841022790439134,1.0
2019-10-01 13:56:00+02:00,-45.0,593.0,593.0,-0.07588532883642496,1.0
2019-10-01 13:57:00+02:00,507.0,507.0,507.0,1.0,1.0
2019-10-01 13:58:00+02:00,-271.0,471.0,471.0,-0.5753715498938429,1.0
2019-10-01 13:59:00+02:00,588.0,588.0,588.0,1.0,1.0
2019-10-01 14:00:00+02:00,-847.0,1307.0,1307.0,-0.6480489671002295,1.0
2019-10-01 14:01:00+02:00,0.0,806.0,806.0,0.0,1.0
2019-10-01 14:02:00+02:00,550.0,1276.0,1276.0,0.43103448275862066,1.0
2019-10-01 14:03:00+02:00,610.0,818.0,818.0,0.7457212713936431,1.0
2019-10-01 14:04:00+02:00,-169.0,223.0,223.0,-0.757847533632287,1.0
2019-10-01 14:05:00+02:00,99.0,201.0,201.0,0.4925373134328358,1.0
2019-10-01 14:06:00+02:00,0.0,0.0,0.0,,
2019-10-01 14:07:00+02:00,-12.0,774.0,774.0,-0.015503875968992248,1.0
2019-10-01 14:08:00+02:00,-94.0,94.0,94.0,-1.0,1.0
2019-10-01 14:09:00+02:00,-232.0,244.0,244.0,-0.9508196721311475,1.0
2019-10-01 14:10:00+02:00,840.0,1466.0,1466.0,0.572987721691678,1.0
2019-10-01 14:11:00+02:00,286.0,286.0,286.0,1.0,1.0
2019-10-01 14:12:00+02:00,-672.0,672.0,672.0,-1.0,1.0
2019-10-01 14:13:00+02:00,616.0,772.0,772.0,0.7979274611398963,1.0
2019-10-01 14:14:00+02:00,-884.0,1978.0,1978.0,-0.44691607684529827,1.0
2019-10-01 14:15:00+02:00,583.0,593.0,593.0,0.9831365935919055,1.0
2019-10-01 14:16:00+02:00,2400.0,3118.0,3118.0,0.7697241821680565,1.0
